CustomerID,Austria,Belgium,Finland,France,Germany,Italy,Norway,Portugal,Spain,Switzerland,United Kingdom,balance,max_spent,mean_spent,min_spent,n_orders,time_between_orders,total_items,total_items_returned,total_refunded,total_spent
12348,0,0,1,0,0,0,0,0,0,0,0,0.383285339884,1.25069296086,1.4315245128,0.513597696584,-0.134499211372,-0.866714814781,2.25732735069,0.177631684419,0.250957219095,0.375546828237
12350,0,0,0,0,0,0,1,0,0,0,0,-0.555080830834,-0.63625261619,-0.573045827574,0.0227993231838,-0.695840379261,1.1351113555,-0.522217074419,0.177631684419,0.250957219095,-0.557665404281
12352,0,0,0,0,0,0,1,0,0,0,0,-0.14863633837,0.0972269964215,-0.374642013943,-0.76077465257,0.426841956517,-1.1450148567,-0.281711583744,-1.05475148567,-1.14631609208,-0.122088164665
12354,0,0,0,0,0,0,0,0,1,0,0,-0.349333262538,0.121653788838,1.00506580964,2.11215248543,-0.695840379261,1.1351113555,-0.383239853164,0.177631684419,0.250957219095,-0.353047896173
12356,0,0,0,0,0,0,0,1,0,0,0,1.10327864248,3.91788628589,5.49095368093,3.52516739028,-0.415169795317,-0.702313631715,1.24995054632,0.177631684419,0.250957219095,1.09158559677
12358,1,0,0,0,0,0,0,0,0,0,0,-0.526129395937,-0.529605047401,-0.350984411718,0.316799259874,-0.695840379261,1.1351113555,-0.562994821973,0.177631684419,0.250957219095,-0.528872983968
12360,1,0,0,0,0,0,0,0,0,0,0,0.510335118554,1.96109746127,3.21697522503,2.89822836179,-0.415169795317,-0.650736789968,0.276693898067,0.177631684419,0.250957219095,0.501898791141
12361,0,1,0,0,0,0,0,0,0,0,0,-0.586401639001,-0.751628177211,-0.813280656425,-0.295261444828,-0.695840379261,1.1351113555,-0.566323617692,0.177631684419,0.250957219095,-0.588814184177
12362,0,1,0,0,0,0,0,0,0,0,0,0.599813032364,0.46691153462,0.417756988936,-0.76077465257,0.707512540462,-0.844149946517,0.614982762979,-0.0179846917854,-0.0137966369243,0.596828281941
12364,0,1,0,0,0,0,0,0,0,0,0,-0.149844613899,0.85650439138,2.53517068776,4.13794672601,-0.695840379261,1.1351113555,0.0852881442419,0.177631684419,0.250957219095,-0.15465493086
12373,1,0,0,0,0,0,0,0,0,0,0,-0.547165446678,-0.607094943029,-0.512333762041,0.103179534012,-0.695840379261,1.1351113555,-0.522217074419,0.177631684419,0.250957219095,-0.549793495052
